TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
1 0.00392157 0.00695075
2 0.00784314 0.00692108
3 0.0117647 0.00689176
4 0.0156863 0.00686278
5 0.0196078 0.00683413
6 0.0235294 0.00680582
7 0.027451 0.00677782
8 0.0313725 0.00675014
9 0.0352941 0.00672276
10 0.0392157 0.00669569
11 0.0431373 0.00666891
12 0.0470588 0.00664242
13 0.0509804 0.00661621
14 0.054902 0.00659028
15 0.0588235 0.00656462
16 0.0627451 0.00653923
17 0.0666667 0.0065141
18 0.0705882 0.00648922
19 0.0745098 0.0064646
20 0.0784314 0.00644022
21 0.0823529 0.00641609
22 0.0862745 0.00639219
23 0.0901961 0.00636852
24 0.0941176 0.00634509
25 0.0980392 0.00632188
26 0.101961 0.00629889
27 0.105882 0.00627611
28 0.109804 0.00625355
29 0.113725 0.0062312
30 0.117647 0.00620906
31 0.121569 0.00618711
32 0.12549 0.00616537
33 0.129412 0.00614382
34 0.133333 0.00612247
35 0.137255 0.0061013
36 0.141176 0.00608032
37 0.145098 0.00605953
38 0.14902 0.00603891
39 0.152941 0.00601847
40 0.156863 0.00599821
41 0.160784 0.00597812
42 0.164706 0.00595819
43 0.168627 0.00593844
44 0.172549 0.00591885
45 0.176471 0.00589942
46 0.180392 0.00588015
47 0.184314 0.00586103
48 0.188235 0.00584207
49 0.192157 0.00582327
50 0.196078 0.00580461
51 0.2 0.0057861
52 0.203922 0.00576774
53 0.207843 0.00574952
54 0.211765 0.00573144
55 0.215686 0.00571351
56 0.219608 0.00569571
57 0.223529 0.00567804
58 0.227451 0.00566051
59 0.231373 0.00564312
60 0.235294 0.00562585
61 0.239216 0.00560871
62 0.243137 0.0055917
63 0.247059 0.00557482
64 0.25098 0.00555806
65 0.254902 0.00554142
66 0.258824 0.0055249
67 0.262745 0.0055085
68 0.266667 0.00549221
69 0.270588 0.00547605
70 0.27451 0.00546
71 0.278431 0.00544406
72 0.282353 0.00542823
73 0.286275 0.00541251
74 0.290196 0.0053969
75 0.294118 0.0053814
76 0.298039 0.00536601
77 0.301961 0.00535072
78 0.305882 0.00533553
79 0.309804 0.00532045
80 0.313725 0.00530547
81 0.317647 0.00529059
82 0.321569 0.0052758
83 0.32549 0.00526112
84 0.329412 0.00524653
85 0.333333 0.00523204
86 0.337255 0.00521764
87 0.341176 0.00520333
88 0.345098 0.00518912
89 0.34902 0.005175
90 0.352941 0.00516097
91 0.356863 0.00514702
92 0.360784 0.00513317
93 0.364706 0.0051194
94 0.368627 0.00510572
95 0.372549 0.00509213
96 0.376471 0.00507862
97 0.380392 0.00506519
98 0.384314 0.00505184
99 0.388235 0.00503858
100 0.392157 0.0050254
101 0.396078 0.0050123
102 0.4 0.00499927
103 0.403922 0.00498633
104 0.407843 0.00497346
