TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
1 0.00196078 0.00344896
2 0.00392157 0.00344896
3 0.00588235 0.00344896
4 0.00784314 0.00344896
5 0.00980392 0.00344896
6 0.0117647 0.00344896
7 0.0137255 0.00344896
8 0.0156863 0.00344896
9 0.0176471 0.00344896
10 0.0196078 0.00344896
11 0.0215686 0.00344896
12 0.0235294 0.00344896
13 0.0254902 0.00344896
14 0.027451 0.00344896
15 0.0294118 0.00344896
16 0.0313725 0.00344896
17 0.0333333 0.00344896
18 0.0352941 0.00344896
19 0.0372549 0.00344896
20 0.0392157 0.00344896
21 0.0411765 0.00344896
22 0.0431373 0.00344896
23 0.045098 0.00344896
24 0.0470588 0.00344896
25 0.0490196 0.00344896
26 0.0509804 0.00344896
27 0.0529412 0.00344896
28 0.054902 0.00344896
29 0.0568627 0.00344896
30 0.0588235 0.00344896
31 0.0607843 0.00344896
32 0.0627451 0.00344896
33 0.0647059 0.00344896
34 0.0666667 0.00344896
35 0.0686275 0.00344896
36 0.0705882 0.00344896
37 0.072549 0.00344896
38 0.0745098 0.00344896
39 0.0764706 0.00344896
40 0.0784314 0.00344896
41 0.0803922 0.00344896
42 0.0823529 0.00344896
43 0.0843137 0.00344896
44 0.0862745 0.00344896
45 0.0882353 0.00344896
46 0.0901961 0.00344896
47 0.0921569 0.00344896
48 0.0941176 0.00344896
49 0.0960784 0.00344896
50 0.0980392 0.00344896
51 0.1 0.00344896
52 0.101961 0.00344896
53 0.103922 0.00344896
54 0.105882 0.00344896
55 0.107843 0.00344896
56 0.109804 0.00344896
57 0.111765 0.00344896
58 0.113725 0.00344896
59 0.115686 0.00344896
60 0.117647 0.00344896
61 0.119608 0.00344896
62 0.121569 0.00344896
63 0.123529 0.00344896
64 0.12549 0.00344896
65 0.127451 0.00344896
66 0.129412 0.00344896
67 0.131373 0.00344896
68 0.133333 0.00344896
69 0.135294 0.00344896
70 0.137255 0.00344896
71 0.139216 0.00344896
72 0.141176 0.00344896
73 0.143137 0.00344896
74 0.145098 0.00344896
75 0.147059 0.00344896
76 0.14902 0.00344896
77 0.15098 0.00344896
78 0.152941 0.00344896
79 0.154902 0.00344896
80 0.156863 0.00344896
81 0.158824 0.00344896
82 0.160784 0.00344896
83 0.162745 0.00344896
84 0.164706 0.00344896
85 0.166667 0.00344896
86 0.168627 0.00344896
87 0.170588 0.00344896
88 0.172549 0.00344896
89 0.17451 0.00344896
90 0.176471 0.00344896
91 0.178431 0.00344896
92 0.180392 0.00344896
93 0.182353 0.00344896
94 0.184314 0.00344896
95 0.186275 0.00344896
96 0.188235 0.00344896
97 0.190196 0.00344896
98 0.192157 0.00344896
99 0.194118 0.00344896
100 0.196078 0.00344896
101 0.198039 0.00344896
102 0.2 0.00344896
