TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
1 0.00196078 0.00344947
2 0.00392157 0.00345552
3 0.00588235 0.00346161
4 0.00784314 0.00346772
5 0.00980392 0.00347385
6 0.0117647 0.00348001
7 0.0137255 0.00348619
8 0.0156863 0.0034924
9 0.0176471 0.00349863
10 0.0196078 0.00350489
11 0.0215686 0.00351117
12 0.0235294 0.00351748
13 0.0254902 0.00352382
14 0.027451 0.00353018
15 0.0294118 0.00353657
16 0.0313725 0.00354299
17 0.0333333 0.00354943
18 0.0352941 0.0035559
19 0.0372549 0.0035624
20 0.0392157 0.00356892
21 0.0411765 0.00357547
22 0.0431373 0.00358205
23 0.045098 0.00358866
24 0.0470588 0.00359529
25 0.0490196 0.00360195
26 0.0509804 0.00360864
27 0.0529412 0.00361536
28 0.054902 0.00362211
29 0.0568627 0.00362889
30 0.0588235 0.0036357
31 0.0607843 0.00364253
32 0.0627451 0.0036494
33 0.0647059 0.00365629
34 0.0666667 0.00366321
35 0.0686275 0.00367017
36 0.0705882 0.00367715
37 0.072549 0.00368417
38 0.0745098 0.00369121
39 0.0764706 0.00369829
40 0.0784314 0.0037054
41 0.0803922 0.00371254
42 0.0823529 0.00371971
43 0.0843137 0.00372691
44 0.0862745 0.00373415
45 0.0882353 0.00374141
46 0.0901961 0.00374871
47 0.0921569 0.00375604
48 0.0941176 0.00376341
49 0.0960784 0.0037708
50 0.0980392 0.00377824
51 0.1 0.0037857
52 0.101961 0.0037932
53 0.103922 0.00380073
54 0.105882 0.0038083
55 0.107843 0.0038159
56 0.109804 0.00382353
57 0.111765 0.0038312
58 0.113725 0.00383891
59 0.115686 0.00384665
60 0.117647 0.00385443
61 0.119608 0.00386224
62 0.121569 0.00387009
63 0.123529 0.00387797
64 0.12549 0.00388589
65 0.127451 0.00389385
66 0.129412 0.00390185
67 0.131373 0.00390988
68 0.133333 0.00391795
69 0.135294 0.00392606
70 0.137255 0.00393421
71 0.139216 0.0039424
72 0.141176 0.00395062
73 0.143137 0.00395889
74 0.145098 0.00396719
75 0.147059 0.00397554
76 0.14902 0.00398392
77 0.15098 0.00399235
78 0.152941 0.00400081
79 0.154902 0.00400932
80 0.156863 0.00401786
81 0.158824 0.00402645
82 0.160784 0.00403508
83 0.162745 0.00404376
84 0.164706 0.00405247
85 0.166667 0.00406123
86 0.168627 0.00407003
87 0.170588 0.00407888
88 0.172549 0.00408776
89 0.17451 0.0040967
90 0.176471 0.00410568
91 0.178431 0.0041147
92 0.180392 0.00412376
93 0.182353 0.00413288
94 0.184314 0.00414204
95 0.186275 0.00415124
96 0.188235 0.00416049
97 0.190196 0.00416979
98 0.192157 0.00417914
99 0.194118 0.00418853
100 0.196078 0.00419797
101 0.198039 0.00420746
102 0.2 0.004217
