TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
1 0.00196078 0.00347537
2 0.00392157 0.00346078
3 0.00588235 0.00344632
4 0.00784314 0.00343198
5 0.00980392 0.00341776
6 0.0117647 0.00340367
7 0.0137255 0.00338969
8 0.0156863 0.00337583
9 0.0176471 0.00336209
10 0.0196078 0.00334847
11 0.0215686 0.00333495
12 0.0235294 0.00332155
13 0.0254902 0.00330826
14 0.027451 0.00329508
15 0.0294118 0.00328201
16 0.0313725 0.00326904
17 0.0333333 0.00325618
18 0.0352941 0.00324342
19 0.0372549 0.00323076
20 0.0392157 0.00321821
21 0.0411765 0.00320575
22 0.0431373 0.0031934
23 0.045098 0.00318114
24 0.0470588 0.00316898
25 0.0490196 0.00315691
26 0.0509804 0.00314494
27 0.0529412 0.00313306
28 0.054902 0.00312127
29 0.0568627 0.00310957
30 0.0588235 0.00309796
31 0.0607843 0.00308644
32 0.0627451 0.00307501
33 0.0647059 0.00306366
34 0.0666667 0.0030524
35 0.0686275 0.00304123
36 0.0705882 0.00303014
37 0.072549 0.00301913
38 0.0745098 0.0030082
39 0.0764706 0.00299735
40 0.0784314 0.00298658
41 0.0803922 0.0029759
42 0.0823529 0.00296528
43 0.0843137 0.00295475
44 0.0862745 0.00294429
45 0.0882353 0.00293391
46 0.0901961 0.00292361
47 0.0921569 0.00291337
48 0.0941176 0.00290321
49 0.0960784 0.00289312
50 0.0980392 0.00288311
51 0.1 0.00287316
52 0.101961 0.00286328
53 0.103922 0.00285348
54 0.105882 0.00284374
55 0.107843 0.00283407
56 0.109804 0.00282446
57 0.111765 0.00281492
58 0.113725 0.00280545
59 0.115686 0.00279604
60 0.117647 0.0027867
61 0.119608 0.00277742
62 0.121569 0.0027682
63 0.123529 0.00275904
64 0.12549 0.00274995
65 0.127451 0.00274092
66 0.129412 0.00273194
67 0.131373 0.00272303
68 0.133333 0.00271418
69 0.135294 0.00270538
70 0.137255 0.00269664
71 0.139216 0.00268796
72 0.141176 0.00267934
73 0.143137 0.00267077
74 0.145098 0.00266226
75 0.147059 0.0026538
76 0.14902 0.0026454
77 0.15098 0.00263705
78 0.152941 0.00262876
79 0.154902 0.00262052
80 0.156863 0.00261233
81 0.158824 0.00260419
82 0.160784 0.0025961
83 0.162745 0.00258807
84 0.164706 0.00258008
85 0.166667 0.00257215
86 0.168627 0.00256426
87 0.170588 0.00255642
88 0.172549 0.00254863
89 0.17451 0.00254089
90 0.176471 0.0025332
91 0.178431 0.00252556
92 0.180392 0.00251796
93 0.182353 0.0025104
94 0.184314 0.0025029
95 0.186275 0.00249544
96 0.188235 0.00248802
97 0.190196 0.00248065
98 0.192157 0.00247332
99 0.194118 0.00246604
100 0.196078 0.0024588
101 0.198039 0.0024516
102 0.2 0.00244445
